epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,5834.95,0.63324,0.37194,0.88415,0.95202,0.92569,0.96235,0.8118,0.50882,0.29057,0.85845,0.000972806,0.000972806,0.000972806
55,5943.38,0.62333,0.36647,0.87995,0.95413,0.9281,0.96451,0.81528,0.50413,0.28709,0.85601,0.00097178,0.00097178,0.00097178
56,6051.45,0.62588,0.36868,0.88369,0.95411,0.92194,0.96312,0.81407,0.50214,0.28779,0.85569,0.000970736,0.000970736,0.000970736
57,6159.34,0.6231,0.36641,0.88089,0.95271,0.92408,0.96338,0.81628,0.50086,0.2864,0.85553,0.000969673,0.000969673,0.000969673
58,6267.81,0.61998,0.36328,0.8803,0.95792,0.92836,0.96527,0.82198,0.49115,0.28049,0.85184,0.000968592,0.000968592,0.000968592
59,6376.41,0.61181,0.35947,0.87738,0.96258,0.93083,0.96612,0.82485,0.4894,0.27838,0.8516,0.000967493,0.000967493,0.000967493
60,6484.97,0.61679,0.361,0.87908,0.96101,0.92659,0.96596,0.82697,0.48683,0.2762,0.85163,0.000966375,0.000966375,0.000966375
61,6593.32,0.6081,0.35736,0.87664,0.95512,0.92693,0.96616,0.82858,0.48246,0.27584,0.85116,0.000965239,0.000965239,0.000965239
62,6702.08,0.60752,0.35532,0.87446,0.95669,0.93079,0.96612,0.83131,0.47927,0.27342,0.84863,0.000964085,0.000964085,0.000964085
63,6809.59,0.60441,0.35454,0.87077,0.94733,0.93765,0.96768,0.83327,0.47733,0.27334,0.84738,0.000962913,0.000962913,0.000962913
64,6916.83,0.60295,0.35391,0.87097,0.96006,0.93004,0.96814,0.83545,0.47218,0.26882,0.84544,0.000961723,0.000961723,0.000961723
65,7024.84,0.59809,0.35206,0.87195,0.95575,0.93264,0.96913,0.83626,0.46902,0.26775,0.84495,0.000960515,0.000960515,0.000960515
66,7133.33,0.59725,0.34854,0.87048,0.95824,0.93241,0.96943,0.83729,0.46678,0.26657,0.8442,0.000959289,0.000959289,0.000959289
67,7241.44,0.59816,0.35104,0.86979,0.95404,0.93698,0.97047,0.8381,0.46681,0.26587,0.84353,0.000958044,0.000958044,0.000958044
68,7349.75,0.59022,0.34844,0.86967,0.95443,0.93837,0.97162,0.84213,0.46141,0.26401,0.84203,0.000956782,0.000956782,0.000956782
69,7457.15,0.58654,0.34497,0.86569,0.95432,0.93823,0.97062,0.84277,0.45759,0.2628,0.84092,0.000955502,0.000955502,0.000955502
70,7564.68,0.58748,0.34137,0.86483,0.9578,0.93801,0.97129,0.84309,0.4548,0.26104,0.83973,0.000954205,0.000954205,0.000954205
71,7672.51,0.58929,0.34485,0.86775,0.95729,0.93477,0.97112,0.84491,0.45442,0.26104,0.83966,0.000952889,0.000952889,0.000952889
72,7780.36,0.58324,0.34153,0.86678,0.95741,0.93806,0.97157,0.84721,0.45039,0.25869,0.83946,0.000951556,0.000951556,0.000951556
73,7888.51,0.58261,0.33963,0.86573,0.95914,0.94153,0.9729,0.84801,0.44775,0.25726,0.83856,0.000950206,0.000950206,0.000950206
74,7996.89,0.57329,0.33589,0.86405,0.96237,0.94001,0.97247,0.85099,0.4434,0.25484,0.83707,0.000948837,0.000948837,0.000948837
75,8105.19,0.57487,0.33656,0.86155,0.96919,0.93818,0.97362,0.85294,0.44124,0.25246,0.83582,0.000947452,0.000947452,0.000947452
76,8213.17,0.57384,0.336,0.86087,0.95909,0.94305,0.9744,0.85267,0.44037,0.25161,0.83543,0.000946048,0.000946048,0.000946048
77,8321.18,0.57061,0.33262,0.86051,0.96566,0.94323,0.97501,0.85578,0.4366,0.25018,0.83401,0.000944628,0.000944628,0.000944628
78,8428.73,0.5663,0.33225,0.86027,0.96574,0.94146,0.97475,0.85584,0.43406,0.24946,0.83376,0.000943189,0.000943189,0.000943189
79,8536.31,0.56988,0.33159,0.85884,0.9659,0.94278,0.97463,0.85829,0.43117,0.24856,0.83245,0.000941734,0.000941734,0.000941734
80,8644.98,0.56333,0.32767,0.85778,0.96401,0.94429,0.97501,0.86001,0.42845,0.24645,0.83131,0.000940262,0.000940262,0.000940262
81,8753.34,0.5617,0.32801,0.85835,0.9672,0.94584,0.97671,0.86172,0.42579,0.24492,0.83071,0.000938772,0.000938772,0.000938772
82,8861.95,0.55654,0.3244,0.85846,0.96812,0.94606,0.97613,0.86177,0.42377,0.2438,0.83008,0.000937265,0.000937265,0.000937265
83,8969.77,0.55601,0.32364,0.85548,0.9677,0.94773,0.97675,0.86313,0.42139,0.24256,0.8294,0.000935741,0.000935741,0.000935741
84,9078.07,0.55399,0.32425,0.85605,0.96565,0.95153,0.97668,0.86522,0.41945,0.24195,0.8293,0.0009342,0.0009342,0.0009342
